English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
museum,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
music,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
name,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
net,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
new,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
next,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
night,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
no,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
not,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
November,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
now,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
October,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
octopus,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
of,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
off,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
oh,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
old,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Oliver,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
one,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
onion,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
open,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
or,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
orange,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
out,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
p.m. (for time),,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
page,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
paint,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
panda,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
paper,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
park,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
parrot,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
part,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
party,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pea,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pear,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pen,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
pencil,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
penguin,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
pepper,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pet,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
phone,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pie,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pink,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pizza,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
plane,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
play,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
playground,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
police station,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
post office,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
potato,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pretty,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
programme (US program),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
puppy,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
put,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
quarter,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
