word,phrase_type,range,official_write,training_include,write_priority,level_label,topic,special_type,source
country,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,places,,Cambridge combined alphabetic vocabulary list (2025 PDF)
countryside,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,tricky,易错（tricky）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cousin,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cow,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
crayon,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
creature,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
crocodile,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,core,核心（core）,animals,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cross,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
crown,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cry,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cup,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cupboard,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
curly,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cushion,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cut,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
cycle,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,no,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
dad,word,Pre A1 Starters + A1 Movers + A2 Flyers,no,yes,extended,扩展（extended）,general,,Cambridge combined alphabetic vocabulary list (2025 PDF)
