word,phrase_type,level,official_write,training_include,write_priority,level_label,topic,pos,special_type,source
soon,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
Sophia,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
sore,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
sound,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
south,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
space,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
spaceship,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
speak,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
special,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
spend,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
spoon,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
spot,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
spotted,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
spring,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
stadium,word,A2 Flyers,no,yes,extended,扩展（extended）,places,mixed,,Cambridge 2025 PDF
stage (theatre),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,school_fun,phrase,,Cambridge 2025 PDF
stamp,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
stay,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
step,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
still,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
stone,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
storm,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
straight on,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
strange,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
strawberry,word,A2 Flyers,no,yes,tricky,易错（tricky）,food,mixed,,Cambridge 2025 PDF
stream,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
stripe,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
striped,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
student,word,A2 Flyers,no,yes,extended,扩展（extended）,people,mixed,,Cambridge 2025 PDF
study,word,A2 Flyers,no,yes,core,核心（core）,school_fun,verb,,Cambridge 2025 PDF
subject,word,A2 Flyers,no,no,extended,扩展（extended）,school_fun,mixed,,Cambridge 2025 PDF
such,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
suddenly,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
sugar,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
suitcase,word,A2 Flyers,no,no,extended,扩展（extended）,travel,mixed,,Cambridge 2025 PDF
summer,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
sunglasses,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
sure,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
surname,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
surprise,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
swan,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
swing,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
take (as in time e.g. it takes 20 minutes),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,verb,,Cambridge 2025 PDF
taste,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
taxi,word,A2 Flyers,no,yes,core,核心（core）,travel,mixed,,Cambridge 2025 PDF
team,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
telephone,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
tent,word,A2 Flyers,no,yes,core,核心（core）,travel,mixed,,Cambridge 2025 PDF
thank,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
theatre (US theater),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,places,phrase,,Cambridge 2025 PDF
thousand,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
through,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
tidy,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
time,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
timetable,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
toe,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
together,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
tomorrow,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
tonight,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,time,Cambridge 2025 PDF
torch (US flashlight),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,home_objects,phrase,,Cambridge 2025 PDF
tortoise,word,A2 Flyers,no,yes,extended,扩展（extended）,nature_animals,mixed,,Cambridge 2025 PDF
touch,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
tour,word,A2 Flyers,no,yes,core,核心（core）,travel,mixed,,Cambridge 2025 PDF
traffic,word,A2 Flyers,no,no,extended,扩展（extended）,travel,mixed,,Cambridge 2025 PDF
trainers,word,A2 Flyers,no,no,extended,扩展（extended）,travel,mixed,,Cambridge 2025 PDF
tune,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
turn,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
turn off,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
turn on,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,verb,,Cambridge 2025 PDF
twice,word,A2 Flyers,no,yes,special,特殊（special）,time,adverb,time,Cambridge 2025 PDF
tyre (US tire),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
umbrella,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
unfriendly,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
unhappy,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
uniform,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
university,word,A2 Flyers,no,yes,tricky,易错（tricky）,places,mixed,,Cambridge 2025 PDF
unkind,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
untidy,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
until,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
unusual,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
use,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
usually,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
view,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
violin,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
visit,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
volleyball,word,A2 Flyers,no,yes,tricky,易错（tricky）,school_fun,mixed,,Cambridge 2025 PDF
waiter,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
warm,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
way,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
west,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
wheel,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
while,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
whisper,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
whistle,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
wife,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
wifi,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
wild,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
will,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
William,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
win,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
wing,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
winner,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
winter,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
wish,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
without,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
wonderful,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
wood,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
wool,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
worried,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
yoghurt,word,A2 Flyers,no,yes,extended,扩展（extended）,food,mixed,,Cambridge 2025 PDF
you’re welcome,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
x-ray,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
yet,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
zero,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
a hundred,phrase,A2 Flyers,yes,yes,must_write,必写（must_write）,time,phrase,number,Cambridge 2025 PDF
a thousand,phrase,A2 Flyers,yes,yes,must_write,必写（must_write）,time,phrase,number,Cambridge 2025 PDF
a million,phrase,A2 Flyers,yes,yes,must_write,必写（must_write）,time,phrase,number,Cambridge 2025 PDF
21th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
22nd,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
23rd,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
24th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
25th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
26th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
27th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
28th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
29th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
30th,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
31st,word,A2 Flyers,yes,yes,must_write,必写（must_write）,time,mixed,number,Cambridge 2025 PDF
