word,phrase_type,level,official_write,training_include,write_priority,level_label,topic,pos,special_type,source
much,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
museum,word,A2 Flyers,no,yes,core,核心（core）,places,mixed,,Cambridge 2025 PDF
necklace,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
nest,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
news,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
newspaper,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
next,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
no problem,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
noisy,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
no-one,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
north,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
November,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
nowhere,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
ocean,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
October,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
octopus,word,A2 Flyers,no,yes,extended,扩展（extended）,nature_animals,mixed,,Cambridge 2025 PDF
of course,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,actions_phrases,phrase,,Cambridge 2025 PDF
office,word,A2 Flyers,no,yes,core,核心（core）,places,mixed,,Cambridge 2025 PDF
Oliver,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
olives,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
once,word,A2 Flyers,no,yes,special,特殊（special）,time,adverb,time,Cambridge 2025 PDF
online,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
other,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
oven,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
over,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
p.m. (for time),phrase,A2 Flyers,no,yes,special,特殊（special）,time,phrase,time,Cambridge 2025 PDF
pajamas (UK pyjamas),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
passenger,word,A2 Flyers,no,no,extended,扩展（extended）,travel,mixed,,Cambridge 2025 PDF
past,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
path,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
pepper,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
perhaps,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
photographer,word,A2 Flyers,no,yes,tricky,易错（tricky）,people,mixed,,Cambridge 2025 PDF
piece,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
pilot,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
pizza,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
planet,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
plastic,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
